'green_nature', '#006A00', 'Озеленение природное',
'green_urban', '#00FF00', 'Озеленение городское'
'app family', '#596EB5', 'Апартаменты семейные'
'app non family', '#596EB5', 'Апартаменты несемейные'
'artschool', '#E43594', 'Школа искусств'
'concerthall', '#F8951D', 'Концертный зал'
'dorm', '#FEBF10', 'Студенческие кампусы'
'flats', '#00B5DC', 'Постоянное жилье'
'flats yo', '#00B5DC', 'Жилье для молодых семей'
'hotel', '#FFD002', 'Гостиницы'
'hub', '#B6529F', 'ТПУ'
'kinders', '#DA67A7', 'Детские сады'
'maison', '#275069', 'Коттеджи'
'mediateque', '#F37763', 'Медиатека'
'medical', '#00A997', 'Поликлиника'
'sachtech lab', '#B1BE73', 'Лабы СахТех'
'sachtech office', '#EEF2D8', 'Офисы СахТех'
'sachtech prom', '#6B946C', 'Производство СахТех'
'sachtech ungrng', '#367036', 'Подвалы СахТех'
'school', '#BDD630', 'Школы'
'service', '#C785B9', 'Магазины и сервисы'
'sport', '#9AC639', 'Спортивные объекты'
'townhouse', '#00564D', 'Блокированная застройка'
'univer', '#B168AA', 'Университет'